Model,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR
Model A,0.004820619031418276,0.030403003353797788,0.0008146915263102564,0.029201414714482142,0.01999849215451662
Model B (Distractor),0.003262129247202311,0.03672027555468228,0.005267847295326418,0.03638083632744246,0.017355940874087167
Model B (Hint),0.011759587103333743,0.061362881932758254,0.010132911158524086,0.0587840235678353,0.0394949147037207
